morpheme;variant;key;type;transitivity;nature;number;compositionRoot;plural;intransSuffix;transSuffix;antipassive;engMean;freMean;source;dialect;cf;END
ijjuaq;;1;v;i;;;;;;nil;;to mimic or ape s.o.;imiter ou singer (trans.: qqn);;;;.
iju;;1;v;i;;;;;;;;to be dusk or twilight;être le crépuscule;;;;.
ijukkaq;;1;v;i;;;;;;;;to fall off or tumble off some raised position;tomber d'une position debout;;;;.
ijuq;;1;v;i;;;;;;gi/4vv;;to scoff, jeer, laugh at s.o.;se moquer, rire de qqn;;;;.
ik&i;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to crave for s.t.;avoir un grand besoin de qqch.;;;;.
ikaaq;;1;v;i;;;;;;nil;;to cross s.t. over;traverser qqch.;;;;.
ikajuq;;1;v;i;;;;;;nil;;to help s.o.;aider qqn;;;;.
iki;;1;v;i;;;;;;;;to get on board a vehicle;monter à bord d'un véhicule;;;;.
ikiq;;1;v;i;;;;;;;;to form cracks, speaking of the ice;former des fissures, en parlant de la glace;;;;.
ikkat;;1;v;i;a;;;;;;;to be shallow;être peu profond;;;;.
ikkiiq;;1;v;i;a;;;;;;;to be cold;avoir froid;;;;.
ikpik;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;(1) to feel s.t. (2) to look after s.t.;(1) ressentir qqch. (2) s'occuper de qqch.;;;;
iksik;;1;v;i;;;;;;;;to protrude or stick out one's rear end (as in sitting or bending);faire dépasser, faire sortir son derrière (comme en s'asseyant ou en se penchant);;;;.
ikuliaq;;1;v;i;a;;;;;;;to be calm or still, speaking of the water or the sea;être calme, en parlant de l'eau, de la mer;;;;.
ikullaq;;1;v;i;a;;;;;;;(1) to be better, improved in health (2) to be good weather;(1) se porter mieux, par rapport à la santé (2) faire beau temps;;;;.
ikuma;;1;v;i;;;;;;;;to burn with flame;;;;;
ikupik;;1;v;i;;;;;;nil;;to cut a small piece off s.t.;découper un petit morceau de quelque chose;;;;.
ilaaniq;;1;v;i;;;;;;gi/4vv;;to do s.t. purposefully or with intent;faire qqch. intentionnellement, dans un but précis;;;;.
ilaaq;;1;v;i;;;;;;nil;;(1) to patch s.t. with no overlap (2) to remove chipped ice from fish-hole or water-hole;(1) rapiécer qqch. sans empiètement (2) retirer la glace concassée d'un trou de pêche;;;;.
ilabjuk;;1;v;i;;;;;;gi/4vv;;to feel sorry (trans.: for s.o.);se sentir désolé (trans.: pour qqn);;;;.
iliqi;;1;v;i;;;;;;;;to shake one's head;secouer, hocher la tête;;;;.
ilira;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be ashamed of s.t.;avoir honte de qqch.;;;;.
ilit;;1;v;i;;;;;;nil;;to learn (trans.: s.t.);apprendre (trans.: qqch.);;;;.
ilitaq;ilitaaq;1;v;i;;;;;si/3vv;gi/4vv;;to recognize s.o.;reconnaître qqn;;;;.
illa;;1;v;i;a;;;;;;;to be tangled, matted, twisted;être entortillé, tressé;;;;.
illiri;;1;v;i;;;;;;nil;;to join, mix s.t. to something;joindre, mélanger qqch. à quelque chose;;;;.
imaq;;1;v;i;;;;;;;;to bet;;;;;
imia;imiaq;1;v;i;;;;;;;;to echo;faire écho;;;;.
imigluaq;;1;v;i;;;;;;;;to buzz or hum;bourdonner;;;;
imingnak;;1;v;i;a;;;;;;;to be clear, speaking of the weather;être clair (le temps);;;;.
imiq;;1;v;i;;;;;;;;to drink;boire;;;;.
imu;;2;v;i;;;;;;;;to bend one's body down to the floor from a kneeling position;se pencher vers le plancher alos qu'on est agenouillé;;;;.
inak;;2;v;i;;;;;;;;to go to bed;aller au lit;;;;.
inak;;1;v;i;;;;;;;;to lie on one's side;être allongé sur le côté;;;;
inaq;;1;v;i;;;;;;;;to lift one's hind leg, speaking of an animal;lever une patte de derrière (animal);;;;.
ingiaq;;1;v;i;;;;;;nil;;to do s.t. first;faire qqch. en premier;;;;.
ingiq;;1;v;i;;;;;;;;to push one's lower abdomen forward (copulating movement);pousser son bas-ventre vers l'avant (mouvement de copulation);;;;.
ingirra;;1;v;i;;;;;;;;to travel;voyager;;;;.
ingit;;1;v;i;;;;;;;;to sit down;s'asseoir;;;;.
ingiulliq;;1;v;i;;;;;;;;to rise and fall in swells, speaking of the sea;être houleuse (la mer);;;;.
ingniq;;1;v;i;;;;;;;;to slip underneath the sled runners, speaking of the line or tongue;glisser sous les patins du traîneau (la corde du traîneau);;;;.
inngiq;;1;v;i;;;;;;;;to sing;chanter;;;;.
innia;;1;v;i;;;;;;;;to go to visit the Inuit;aller visiter les Inuit;;;;.
innit;;1;v;i;;;;;;;;to come across people in travels;;;;;
ipak;;1;v;i;a;;;;;;;to be grimy;;;;;
ipi;;1;v;i;;;;;;;;to choke for air;manquer d'air;;;;.
ipik;;1;v;i;a;;;;;;;to be sharp;être aiguisé, tranchant;;;;.
ipiqqiq;;1;v;i;;;;;;nil;;to put a wick in s.t. (lamp, lighter, ...);mettre une mèche à qqch. (lampe, briquet, ...);;;;.
ipiraaq;;1;v;i;;;;;;;;to wade in the water;avancer, marcher dans l'eau;;;;.
ipiraq;;1;v;i;;;;;;nil;;"to whip (intrans.: a dog; trans.: s.t. (a dog))";"fouetter (intrans.: un chien; trans.: qqch. (un chien))";;;;.
iptaq;;1;v;i;a;;;;;;;to be soaked or saturated with water;être trempé ou saturé d'eau;;;;.
ipuk;;1;v;i;;;;;;nil;;to row, to paddle (trans.: a boat);ramer, pagayer (trans.: une embarcation);;;;.
ipumiq;;1;v;i;;;;;;;;to close one's mouth;fermer la bouche;;;;.
iqa;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to regularly give to s.o.;donner régulièrement à qqn;;;;.
iqattaq;;1;v;i;;;;;;;;to bowl s.t. or pitch s.t. underhand;faire rouler qqch., lancer qqch. en le faisant rouler;;;;.
iqia;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be lazy or apathetic about s.t.;;;;;
iqqanaiq;;1;v;i;;;;;;;;to be finished doing something;avoir fini de faire qqch.;;;;.
iqqik;;1;v;i;;;;;;;;to swallow involuntarily;avaler involontairement;;;;.
iqu;;1;v;i;;;;;;;;to twist one's nose sideways in a grimace or a 'face';se tordre le nez pour faire une grimace;;;;.
iquma;;1;v;i;a;;;;;;;to be wide awake;;;;;
iquq;;1;v;i;;;;;;;;to wipe one's behind;s'essuyer les fesses;;;;.
iqursu;;1;v;i;a;;;;;;;to be a good shot (with a riffle, etc.);être un bon tir (avec une carabine, etc.);;;;.
irialaaq;;1;v;i;;;;;;nil;;to holler or yell or scream (trans.: at s.o.);crier (trans.: après qqn);;;;.
irjinga;;1;v;i;a;;;;;;;to have downwardly slanted eyes;avoir les yeux bridés vers le bas;;;;.
irligaq;;1;v;i;;;;;;nil;;to take the part of s.o. whom one loves and cares for;;;;;
irngaq;;1;v;i;;;;;;;;to leak;avoir une fuite;;;;.
irnguma;;1;v;i;a;;;;;;;to be bored or frustrated;s'ennuyer;;;;
irni;;1;v;i;;;;;;;;to give birth to a child;donner naissance à un enfant;;;;.
irsi;;1;v;i;a;;;;;gi/4vv;;to be afraid of sharp objects;avoir peur des objets tranchants;;;;.
irsuk;;1;v;i;;;;;;nil;;to carry s.t. over or across one's shoulder;porter qqch. sur l'épaule;;;;.
is&uaq;isuaq;1;v;i;a;;;;;;;to be good or benificial;;;;;
isa;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to hurt s.o. a little to make him behave;heurter qqn, lui faire de la peine un peu pour qu'il se comporte comme il faut;;;;.
isak;;1;v;i;;;;;;nil;;to spread one's arms out;;;;;
isibjuk;;1;v;i;;;;;;nil;;to whisper (trans.: s.t.);chuchoter (trans.: qqch.);;;;.
isuma;;1;v;i;;;;;;;;to think;penser;;;;.
isuqqi;;1;v;i;;;;;;gi/4vv;;to comfort s.o.;réconforter qqn;;;;.
isuuq;;1;v;i;a;;;;;;;for the water to be dirty or muggy;;;;;
iti;;1;v;i;a;;;;;;;to be deep - speaking of the water;être profond (un cours d'eau);;;;.
itibli;;1;v;i;;;;;;;;to walk or talk in one's sleep;;;;;
ittuaq;;1;v;i;;;;;;nil;;to watch or observe s.t. from hidden place;surveiller ou observer (trans.: qqch.) d'un endroit caché;;;;.
iva;;1;v;i;;;;;;;;to sit on one' s eggs, speaking of a bird;;;;;
iviq;;1;v;i;;;;;;;;to insult s.o. in drum-dance song;insulter qqn dans un chant de danse du tambour;;;;.
ivit;;1;v;i;;;;;;;;to wipe one's hands from dirt, slime, etc.;essuyer la saleté, la poussière, la boue, etc. de ses mains;;;;.
ivu;;1;v;i;;;;;;;;to break up and smash into pieces, speaking of the 'tuvaq' (solid sea ice adhering to the land);se briser et éclater en morceaux, en parlant du 'tuvaq' (glace de mer solide adhérant à la terre);;;;.
kaajuq;;1;v;i;a;;;;;;;to be stiff with cold;être rigide à cause du froid;;;;.
kaak;;1;v;i;a;;;;;;;to be hungry;avoir faim;;;;.
kaipit;;1;v;i;;;;;;;;to put one's hands inside the sleeves of opposite arms;mettre ses mains à l'intérieur des manches opposées;;;;.
kajjaq;;1;v;i;a;;;;;gi/4vv;;to be homesick;;;;;
kajumik;;2;v;i;a;;;;;;;to be eager to go hunting;avoir hâte d'aller à la chasse;;;;.
kajumik;;1;v;i;;;;;;;;to blow, speaking of the wind;souffler (le vent);;;;.
kajungiq;;1;v;i;a;;;;;;;to be determined to do s.t.;être déterminé à faire qqch.;;;;.
kajusi;;1;v;i;;;;;;;;to continue;;;;;
kalartuq;;1;v;i;;;;;;;;to snort, speaking of a caribou;grogner, en parlant du caribou;;;;.
kalliq;;1;v;i;;;;;;;;to thunder;tonner;;;;.
kama;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to pay attention;;;;;
kamik;;1;v;i;;;;;;;;to put one's boots on;mettre ses bottes;;;;.
kangiingu;;1;v;i;;;;;;;;to squint;plisser les yeux;;;;.
kaniraq;;1;v;i;;;;;;;;to walk up ahead of the dogs or sledge, or of the travelling party;marcher devant les chiens ou le traîneau, ou devant le groupe;;;;.
kanngii;;1;v;i;;;;;;;;to liven up (the pulling sled-dog);s'animer (le chien de traîneau de tête);;;;.
kanngu;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be embarassed;;;;;
kappia;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be afraid of s.t.;avoir peur de qqch.;;;;
kattunga;;1;v;i;;;;;;;;to move slowly;;;;;
katu;;1;v;i;;;;;;;;to gang up to do s.t.;se rassembler pour faire qqch.;;;;.
kau;;1;v;i;;;;;;;;to feel, look for s.t. in one's pockets;sentir, chercher qqch. dans ses poches;;;;.
kavaq;;1;v;i;a;;;;;;;to be bored;;;;;
kibvati;;1;v;i;;;;;;;;to be able or strong enough to budge s.t.;être capable de ou assez fort pour faire bouger qqch.;;;;.
kiglaq;;1;v;i;;;;;;;;to have broken right at the edge of the land or coast, speaking of the ice;s'être brisée juste sur le bord du rivage ou de la côte (la glace);;;;.
kii;;2;v;i;;;;;;;;to clamp one's teeth together;serrer les dents;;;;.
kii;;1;v;i;;;;;;nil;;to clamp one's teeth down (trans.: on s.t.);;;;;
kiibjaq;;1;v;i;a;;;;;;;to be rough and abrasive;;;;;
kijjiq;;1;v;i;;;;;;;;to become warm, speaking of the weather;se réchauffer (la température);;;;.
kilaa;kilaaq;1;v;i;a;;;;;;;to have holes from melting;avoir des trous à cause de la fonte;;;;.
kiluk;;1;v;i;;;;;;;;to sew;coudre;;;;.
kingaaq;;1;v;i;;;;;;;;to hurt one's shin;se blesser le tibia;;;;.
kingit;;1;v;i;a;;;;;;;to be high, in relative position;être en position élevée relativement à autre chose;;;;.
kingu;;2;v;i;;;;;;;;to fall into the water because the boat or canoe capsized;tomber à l'eau parce que l'embarcation a chaviré;;;;.
kingu;;1;v;i;;;;;;;;to capsize, speaking of a boat or canoe;chavirer (embarcation);;;;.
kini;;1;v;i;;;;;;nil;;"to make s.o. (a baby) urinate; help s.o. (a baby) urinate";faire uriner qqn (un bébé);;;;
kiniq;;1;v;i;a;;;;;;;to be slow or sluggish in one's movement due to friction;avoir un mouvement lent à cause de la friction;;;;.
kipingu;;1;v;i;a;;;;;;;to be lonesome, bored, frustrated;être seul, frustré;;;;
kipkaq;;1;v;i;;;;;;;;to gnaw at meatless bone;ronger un os sans viande;;;;.
kipuk;;1;v;i;;;;;;;;to be cross each other's path;;;;;
kissik;;1;v;i;;;;;;nil;;to brake s.t. with one's foot;briser qqch. avec son pied;;;;.
kiu;;1;v;i;;;;;;nil;;to answer, to reply (trans.: to s.o.);répondre (trans.: à qqn);;;;.
kivi;;1;v;i;;;;;;;;to sink in the water;couler dans l'eau;;;;.
kubviri;;1;v;i;;;;;;nil;;to pour water, liquid (trans.: over s.o. or s.t.);verser de l'eau, du liquide (trans.: sur qqn ou qqch.);;;;.
kujak;;1;v;i;;;;;;;;to copulate;;;;;
kukaq;;1;v;i;;;;;;;;to eat;manger;;;;.
kukki;;1;v;i;;;;;;;;to have something caught between one's teeth;avoir quelque chose pris entre les dents;;;;.
kukuvalaaq;;1;v;i;a;;;;;;;to be dotted or spotted;être tacheté;;;;.
kusiq;;1;v;i;;;;;;;;to drip a drop of liquid or water;laisser tomber une goutte d'eau ou de liquide;;;;.
kutak;;1;v;i;;;;;;;;to speak babyishly;;;;;
kuuk;;1;v;i;;;;;;;;to run or course, speaking of the water of a river, stream, etc;courir (eau d'une rivière, d'un ruisseau, etc.);;;;.
kuut;;1;v;i;;;;;;;;to turn one's toes inward;;;;;
maaktu;;1;v;i;a;;;;;;;to be robust;;;;;
magujji;;1;v;i;;;;;;nil;;to chase s.t. (caribou) by sled;chasser qqch. (un caribou) en traîneau;;;;.
mait;;1;v;i;a;;;;;;;to be frail;;;;;
majuq;;1;v;i;;;;;;nil;;(1) to go up or climb s.t. (2) to go ashore from boat or from sea-ice;(1) aller sur le sommet de qqch.;;;;
makkuk;;1;v;i;a;;;;;;;to be young, youthful;être jeune;;;;.
makpat;;1;v;i;;;;;;;;to cut snow-blocks from the surface of the snow;couper des blocs de neige;;;;.
malik;;1;v;i;;;;;;nil;;(1) to follow (trans.: s.o. or s.t.) (2) to obey (trans.: s.o.);;;;;
mallaaq;;1;v;i;a;;;;;;;to have hang-nails;avoir de petites peaux aux ongles (appelées 'envies');;;;.
malliaq;;1;v;i;;;;;;nil;;to patch the hole in s.t.;rappiécer un trou dans qqch.;;;;.
malliq;;1;v;i;a;;;;;;;to be choppy or rough with waves, speaking of a plan of water;être clapoteux, agité par les vagues, en parlant d'un plan d'eau;;;;.
mamaaq;;1;v;i;a;;;;;;;to have dandruff or falling hair;avoir des pellicules ou des cheveux qui tombent;;;;.
mamaq;;1;v;i;a;;;;;;;to be gratifying to the senses;être gratifiant pour les sens;;;;.
mamiak;mamia;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to regret s.t.;;;;;
mamik;;1;v;i;;;;;;nil;;to sew up the tear or rent in a garment;coudre une déchirure ou un accroc dans un vêtement;;;;.
mamit;;2;v;i;a;;;;;;;to have healed, speaking of a wound or cut;être guérie (blessure, coupure);;;;.
mammit;;1;v;i;;;;;;;;to draw down the corners of one's mouth;baisser les coins de la bouche;;;;.
manaq;;1;v;i;;;;;;;;to catch a fish, speaking of a dormant line;attraper un poisson, en parlant d'une ligne dormante;;;;.
manguq;;1;v;i;a;;;;;;;to be still slightly frozen;être encore un peu gelé;;;;.
mannak;;1;v;i;;;;;;;;to settle one's head down upon his shoulders (to shrink one's neck);rentrer sa tête dans les épaules (se rétrécir le cou);;;;.
mannik;;1;v;i;a;;;;;;;to be smooth-surfaced;;;;;
mapkik;;1;v;i;a;;;;;;;to have clean garments or clothes;avoir des vêtements propres;;;;.
mapkuq;;1;v;i;;;;;;nil;;to make the sound of an object that hits s.t. or falls;;;;;
maqait;;1;v;i;a;;;;;;;to be away hunting;être parti à la chasse;;;;.
maqi;;1;v;i;;;;;;;;to ooze or exude liquid, paste;suinter, exsuder (liquide, pus, résine, etc.);;;;.
maqi;;1;v;i;;;;;;;;to flow;;;;;
maquk;;1;v;i;;;;;;;;to be raining;être en train de pleuvoir;;;;.
marralaaq;;1;v;i;;;;;;;;to yelp in pain;crier de douleur;;;;.
marri;;1;v;i;;;;;;;;to give birth to twins;donner naissance à des jumeaux;;;;.
masak;;2;v;i;;;;;;;;to fall, speaking of soft, wet snow;tomber, en parlant de neige molle, mouillée;;;;.
masak;;1;v;i;a;;;;;;;to be saturated with water;être saturé en eau;;;;.
mattik;;1;v;i;;;;;;;;to catch oneself or to be caught in a net;se prendre soi-même ou être pris dans un filet;;;;.
matuujaaq;;1;v;i;a;;;;;;;to be of medium toughness;être de dureté moyenne;;;;.
mauliq;;1;v;i;;;;;;;;to hunt seals at the breathing-holes in winter;;;;;.
maut;;1;v;i;;;;;;;;to hunt for game on the moving ice;chasser le gibier sur la glace mouvante;;;;.
miaguq;;1;v;i;;;;;;;;to howl at the moon, speaking of a dog or wolf;hurler à la lune (chien, loup);;;;.
mik;;1;v;i;;;;;;;;to land or alight after flight;atterrir, se poser après un vol;;;;.
miki;mikit;1;v;i;a;;;;;;;to be small;être petit;;;;.
miksuk;;1;v;i;a;;;;;;;to be damp, speaking of a hairy, furry or fuzzy surface;être mouillée, en parlant d'une surface poilue, duveteuse, pelucheuse, etc.;;;;.
minaumik&iq;;1;v;i;;;;;;;;to refuse more food so as not to appear greedy;refuser d'autre nourriture de peur d'avoir l'air gourmand;;;;.
mini;;1;v;i;;;;;;;;to rain finely or rain as a mist;pleuvoir finement;;;;.
miqquq;;1;v;i;;;;;;;;to get new coat of hair (animal, but not dog);avoir une nouvelle couche de fourrure (animal, mais pas le chien);;;;.
miriaq;;1;v;i;;;;;;gi/4vv;;to vomit (trans.: s.t.);vomir (trans.: qqch.);;;;.
mirsuq;;1;v;i;;;;;;nil;;to sew (trans.: s.t.);coudre (trans.: qqch.);;;;.
misakpaluk;;1;v;i;;;;;;;;to make a noise in chewing;faire du bruit en mâchant;;;;.
misiaq;;1;v;i;;;;;;;;to tell an outright lie (trans.: to s.o.);dire un mensonge absolu (trans.: à qqn);;;;.
misik;;1;v;i;;;;;;nil;;to jump or leap down (trans.: upon s.t.);sauter ou bondir (trans.: sur qqn);;;;.
mitaq;;1;v;i;;;;;;nil;;to joke or banter with s.o.;;;;;
miuq;;2;v;i;a;;;;;;;to have claws or long pointed nails;avoir des griffes ou de longs ongles pointus;;;;.
miuq;;1;v;i;;;;;;;;to howl at the moon;hurler à la lune;;;;.
mumiq;;1;v;i;;;;;;;;to dance;danser;;;;.
murjuk;;1;v;i;;;;;;;;to fall or dive suddenly into the water;tomber ou plonger soudainement dans l'eau;;;;.
naalak;;1;v;i;;;;;;nil;;(1) to listen with attention (trans.: at s.o.) (2) to obey (trans.: to s.o.);(1) écouter avec attention (trans.: qqn) (2) obéir (trans.: à qqn);;;;.
naalauk;;1;v;i;;;;;;nil;;to predict or guess s.t. correctly;prédire ou deviner correctement (trans.: qqch.);;;;.
naamak;naammak;1;v;i;a;;;;;;;to be enough;;;;;
naat;;1;v;i;;;;;;;;to trip or stumble over s.t.;trébucher contre qqch.;;;;.
nabguaq;;1;v;i;;;;;;;;to dislocate one's joint;se disloquer une articulation;;;;.
naglik;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to love s.o.;aimer qqn;;;;.
nagvaaq;;1;v;i;;;;;;nil;;to find s.t. accidentally;trouver qqch. accidentellement;;;;.
nai;;1;v;i;;;;;;nil;;to begin to smell or taste s.t.;commencer à sentir ou à goûter qqch.;;;;.
naiq;;1;v;i;;;;;;;;to tilt or slant to one side;pencher sur un côté;;;;.
nait;;1;v;i;a;;;;;;;to be short;être court;;;;.
najalaq;;1;v;i;;;;;;;;to vibrate;;;;;
najangaq;;1;v;i;;;;;;;;to nod in drowsiness or sleepiness;avoir la tête inclinée, par fatigue ou par sommeil;;;;.
nakat;;2;v;i;a;;;;;;;to be cut off from the land on the moving ice [Ungava];être coupé, isolé de la terre sur une plaque de glace flottante [Ungava];;;;.
nakiq;;1;v;i;;;;;;;;to shoot over or beyond the mark, due to faulty site adjustment or alignment;tirer au-dessus ou à côté de la cible, à cause d'un mauvais alignement;;;;.
nakiq;;2;v;i;a;;;;;;;to be fast in movement;être rapide dans ses déplacements;;;;.
nakirsuq;;1;v;i;;;;;;;;to confess one's sins in open session (traditional Inuit custom);confesser ses péchés devant un groupe (coutume traditionnelle inuite);;;;.
naku;;1;v;i;;;;;;;;to cross one's eyes;croiser les yeux;;;;.
nakuq;;1;v;i;a;;;;;;;to be thankful or grateful to s.o. for s.t.;être reconnaissant à qqn pour qqch.;;;;.
nallaq;nala;1;v;i;;;;;;;;to lie on one's own back;être étendu sur le dos;;;;.
nallarik;;1;v;i;a;;;;;;;to have a flat top;avoir une surface planne;;;;.
nalliq;;1;v;i;a;;;;;;;to be the same;être le même, pareil;;;;.
nallirtuq;;1;v;i;a;;;;;;;to be strong enough to beat s.o. in physical combat;être assez fort pour défaire qqn dans un combat physique;;;;.
nalliuti;;1;v;i;;;;;;;;to take place;;;;;
nalluaq;;1;v;i;;;;;;;;to fish by casting line;pêcher à la ligne;;;;.
nalluarsiq;;1;v;i;a;;;;;;;to be pounded ashore by wind and waves, resulting in a ship-wreck;être poussé vers la berge par le vent et les vagues, résultant en un naufrage;;;;.
nalu;;1;v;i;a;;;;;;;to be confused;;;;;
naluk;;1;v;i;;;;;;nil;;to swim (trans.: across s.t.);nager (trans.: à travers qqch.);;;;.
nangaq;;1;v;i;;;;;;nil;;to take a short-cut (trans.:  to get to s.t.);;;;;
nangiaq;;1;v;i;a;;;;;;;to be afraid of falling from s.t. with risky footing;avoir peur de tomber de qqch. à cause d'une position risquée;;;;.
nangiq;;1;v;i;a;;;;;;;to be standing;se tenir debout;;;;.
nanirli;;1;v;i;;;;;;nil;;to settle or shrink in volume (loose substance, such as powder, tobacco, flour, ...);diminuer en volume (substance de particules, comme de la poudre, du tabac, de la farine, ...);;;;.
nanngaq;;1;v;i;;;;;;gi/4vv;;to gaze, to stare with awe or attention at s.t.;regarger qqch. avec attention;;;;.
napa;napaq;1;v;i;;;;;;;;to stand upright;se tenir droit, debout;;;;.
napsik;;1;v;i;;;;;;;;to snap or break across or laterally, easily;claquer, se briser latéralement, facilement ;;;;.
naqaq;;1;v;i;;;;;;;;to fall through the soft deep snow;tomber dans la neige folle et profonde;;;;.
naqit;;2;v;i;a;;;;;;;to be low;être bas;;;;.
nariaq;;1;v;i;;;;;;nil;;to pursue s.t. that one scents, speaking of an animal;poursuivre qqch. que l'on sent (animal);;;;.
narru;;1;v;i;;;;;;gi/4vv;;to find s.t. not to one's liking;;;;;
narsik;;1;v;i;;;;;;;;to turn up one's nose in distaste or rejection of s.t.;;;;;
nasit;;1;v;i;;;;;;;;to arrive at a vantage-point to observe or scan surroundings;arriver à un point d'observation, pour observer ou scruter les environs;;;;.
nataqurnak;;1;v;i;;;;;;;;to hail;grêler;;;;.
nauguti;;1;v;i;;;;;;;;to fall in headlong flight after being mortally wounded;tomber en plongeant de la tête après avoir été mortellement blessé;;;;.
nauttiq;;1;v;i;;;;;;nil;;to keep watch over or stand sentry for s.t., staying home;veiller sur qqch. en restant à la maison;;;;.
nigavit;;1;v;i;a;;;;;;;to be tangled;;;;;
niggiq;;1;v;i;;;;;;;;to be blowing due south-east - speaking of the wind;souffler franc sud-est (le vent);;;;.
niglaq;;1;v;i;;;;;;;;to turn cold, to become chilly, speaking of the weather;se refroidir, en parlant de la température;;;;.
nigli;;1;v;i;;;;;;;;to chill;;;;;
niguq;;1;v;i;;;;;;nil;;to skirt or detour (trans.: around s.t.);faire un détour;;;;
niirluk;;1;v;i;;;;;;;;to have one's neck snapped;avoir le coup brisé d'un coup sec;;;;.
nijja;;1;v;i;;;;;;nil;;to make a characteristic noise or sound repeatedly (trans.: at s.o.) (Great Whale River);faire un bruit caractéristique à répétition (trans.: à qqn) (Great Whale River);;;;.
nika;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to feel compassion for s.o.;ressentir de la compassion pour qqn;;;;.
nikit;;1;v;i;;;;;;;;to move very slowly across one's line of vision;bouger très lentement dans son champ de vision;;;;.
nikpaaq;nikpaq;1;v;i;;;;;;nil;;to wait or watch at the seal-hole or breathing-hole for a seal to come up;attendre près d'un trou qu'un phoque se présente;;;;.
niksaaq;;1;v;i;;;;;;;;to burp or belch;roter, éructer, faire un renvoi;;;;.
nikubjaq;;1;v;i;;;;;;;;to stand on tip-toes;se tenir sur la pointe des pieds;;;;.
nikuvik;;1;v;i;;;;;;;;to stand up;se tenir debout;;;;.
nilamak;nilamik;1;v;i;;;;;;nil;;to lay flat back against a solid object;;;;;
niliq;;1;v;i;;;;;;;;to fart;péter;;;;.
ningiq;;1;v;i;;;;;;;;to get a share of the game on the trail;obtenir une part d'un gibier;;;;.
ningu;ningi;1;v;i;a;;;;;;;to be solid or firm;;;;;
ninngaq;;1;v;i;a;;;;;;;to be annoyed or mad about s.t. or s.o.;être embêté, ennuyé ou fâché par qqch. ou qqn;;;;.
nipaluk;;1;v;i;;;;;;;;to rain [Padl.];pleuvoir [Padl.];;;;.
nipaq;;1;v;i;a;;;;;;;(1) to be away for a long time (2) to have moved out of sight;(1) être parti pendant, depuis longtemps (2) avoir disparu de la vue;;;;.
nipi;;1;v;i;;;;;;;;to have set (speaking of the sun, the moon, the stars...);s'être levé (soleil, lune, étoiles...);;;;.
nipi;;2;v;i;;;;;;;;to stick or adhere to something;coller, adhérer à qqch.;;;;.
nipjaaq;;1;v;i;;;;;;;;to make a characteristic repetitious noise (WCHB);faire un bruit caractéristique à répétition (côte ouest de la Baie d'Hudson);;;;.
nipliq;;1;v;i;;;;;;;;to make a single characteristic noise;faire un bruit caractéristique une fois;;;;.
nipta;;1;v;i;a;;;;;;;(1) to be clear and bright, speaking of the weather (2) to be visible;(1) être clair (le temps) (2) être visible;;;;.
nipuuq;;1;v;i;a;;;;;;;to be weary of waiting for s.o. to come;être las d'attendre que quelqu'un arrive;;;;.
niqtuq;;1;v;i;;;;;;nil;;to praise or compliment or eulogize s.o.;louanger, complimenter qqn;;;;.
niquq;;1;v;i;;;;;;;;to make a single short rubbing or friction noise;faire un bruit bref de frottage ou de friction;;;;.
nir&ingu;;1;v;i;a;;;;;;;to be greedy or grasping;être gourmand ou avide, cupide;;;;.
niri;;1;v;i;;;;;;nil;;to eat (trans.: s.t.);manger (trans.: qqch.);;;;.
niriuk;;1;v;i;;;;;;gi/4vv;;to expect;s'attendre à qqch.;;;;.
niriuq;;1;v;i;;;;;;gi/4vv;;to expect;être dans l'attente (trans.: de qqch.);;;;.
nirralaaq;nirrallaq;1;v;i;;;;;;;;to fall over backwards;;;;;
nirumak;nirumik;1;v;i;a;;;;;;;to be cushioned or billowy or light and buoyant to the touch;être coussiné, léger, moelleux au toucher;;;;.
niubviuq;;1;v;i;;;;;;nil;;to go out and meet s.o. who is arriving;sortir rencontrer qqn qui arrive;;;;.
niuk;;1;v;i;a;;;;;;;to be bent;être plié;;;;.
niurru;;1;v;i;;;;;;;;to visit or commute or come to trade from an outlying camp for a short period;rendre visite, passer par là, ou venir d'un camp éloigné pendant une courte période;;;;.
niuviq;;1;v;i;;;;;;nil;;to barter or trade for goods;;;;;
nivaq;;1;v;i;;;;;;;;to shovel s.t. with a shovel [Padl.];pelleter qqch. [Padl.];;;;.
nivinga;;1;v;i;a;;;;;;;to be hanging or suspended;être suspendu;;;;
niviq;;1;v;i;;;;;;;;to fall over backwards or on one's own back;;;;;
niviuq;;1;v;i;;;;;;nil;;to attack s.t. or s.o. which is a would-be danger in defence of one's young;attaquer qqch. ou qqn potentiellement dangereux pour défendre ses petits;;;;.
nubviq;;1;v;i;;;;;;;;to spit [Natt.];cracher [Natt.];;;;.
