morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
mammit,,1,v,i,,,,,,,,to draw down the corners of one's mouth,baisser les coins de la bouche,,,,.
manaq,,1,v,i,,,,,,,,"to catch a fish, speaking of a dormant line","attraper un poisson, en parlant d'une ligne dormante",,,,.
manaq,,1,n,,,,,,,,,baited fish-line left in a fish-hole,ligne à pêche appâtée laissée dans le trou,,,,.
mangat,,1,v,t,,,,,,,si/1vv,[-R]to /mislead s.o. playfully or /deceive s.o.,[-R]induire qqn en erreur pour jouer,,,,
mangik,,1,v,t,,,,,,,si/1vv,[-R]to /bite at or to /gnaw s.t. (a hard or frozen thing),[-R]/mordre-dans qqch.,,,,
mangitaq,,1,n,,,,,,,,,table,table,,,,.
manguq,,1,v,i,a,,,,,,,to be still slightly frozen,être encore un peu gelé,,,,.
maniq,,1,n,,,,,,,,,moss used for wick of stone lamp,mousse utilisée comme mèche de lampe de pierre,,,,.
maniraq,maniqqaq,1,n,,,,,,,,,the ground,,,,,
mannak,,1,v,i,,,,,,,,to settle one's head down upon his shoulders (to shrink one's neck),rentrer sa tête dans les épaules (se rétrécir le cou),,,,.
manngiq,,1,n,,,,,,,,,rust,,,,,
mannguq,,1,v,t,,,,,,,si/1vv,to /embed or /plant or /root s.t. in something,/enfoncer ou /planter qqch. dans quelque chose,,,,.
mannguq,,1,n,,ana,,,,,,,"root of hair, tooth, plant, etc.","racine des cheveux, d'une dent, d'une plante, etc.",,,,.
mannik,,1,v,i,a,,,,,,,to be smooth-surfaced,,,,,
mannik,,1,n,,,,,,,,,egg,oeuf,,,,.
manu,,1,n,,,,,,,,,part of garment under chin,,,,,
manuaq,,1,n,,,,,,,,,door sill,seuil de porte,,,,.
mapkik,,1,v,i,a,,,,,,,to have clean garments or clothes,avoir des vêtements propres,,,,.
mapkuq,,1,v,i,,,,,,nil,,(1) to make the sound of an object that hits s.t. or falls,,,,,
mapsak,,1,n,,ana,,,,,,,spleen,rate,,,,.
mapsuk,,1,v,t,res,,,,,,si/1vv,to /turn up or /tilt up s.t. (the tip of something),[-R]/redresser qqch. (la pointe de quelque chose) [R]se redresser,,,,.
maqait,,1,v,i,a,,,,,,,to be away hunting,être parti à la chasse,,,,.
maqi,,1,v,i,,,,,,,,"to ooze or exude liquid, paste","suinter, exsuder (liquide, pus, résine, etc.)",,,,.
maqi,,1,v,i,,,,,,,,to flow,,,,,
maquk,,1,v,i,,,,,,,,to be raining,être en train de pleuvoir,,,,.
maquk,,1,n,,,,,,,,,rain,pluie,,,,.
maraq,marraq,1,n,,,,,,,,,clay,argile,,,,.
marniq,,1,n,,,,,,,,,pus,pus,,,,.
marralaaq,,1,v,i,,,,,,,,to yelp in pain,crier de douleur,,,,.
marri,,1,v,i,,,,,,,,to give birth to twins,donner naissance à des jumeaux,,,,.
marru,,1,n,,nb,,,,,,,"root conveying the idea of ""two""",racine véhiculant l'idée de 'deux',,,,.
masak,,2,v,i,,,,,,,,"to fall, speaking of soft, wet snow","tomber, en parlant de neige molle, mouillée",,,,.
masak,,1,v,i,a,,,,,,,to be saturated with water,être saturé en eau,,,,.
masak,,1,n,,,,,,,,,saturated thing,chose saturée,,,,.
masigirniq,,1,n,,,,,,,,,glare ice,glace éblouissante,,,,.
masik,,1,n,,,,,,,,,fish gill,"ouïe, branchie de poisson",,,,.
matna,,1,e,,,,,,,,,thank you [Padl.],merci [Padl.],,,,.
mattaaq,,1,v,t,,,,,,,si/1vv,to /remove s.o.'s outer garment by pulling it off over his head,/enlever-de qqn le vêtement externe par-dessus la tête,,,,.
mattik,,1,v,i,,,,,,,,to catch oneself or to be caught in a net,se prendre soi-même ou être pris dans un filet,,,,.
mattut,,1,n,,,,,,,,,applied bandage,bandage appliqué,,,,.
matu,,1,n,,,,,,,,,lid,,,,,
matuujaaq,,1,v,i,a,,,,,,,to be of medium toughness,être de dureté moyenne,,,,.
mauja,,1,n,,,,,,,,,deep soft snow,neige molle profonde,,,,.
maujaraq,,1,n,,,,,,,,,small ice span,petit espace de glace,,,,.
mauliq,,1,v,i,,,,,,,,to hunt seals at the breathing-holes in winter,,,,,.
mauna,,1,a,,,,,,,,,by here or through here,par ici,,,,.
maunak,,1,n,,ana,,,,,,,whorl or mark on skin of finter-tips,,,,,
maut,,1,v,i,,,,,,,,to hunt for game on the moving ice,chasser le gibier sur la glace mouvante,,,,.
miaguq,,1,v,i,,,,,,,,"to howl at the moon, speaking of a dog or wolf","hurler à la lune (chien, loup)",,,,.
mianiq,mianiri,1,v,t,,,,,,,si/1vv,[-R]to /keep watch over s.t.,,,,,
mik,,1,v,i,,,,,,,,to land or alight after flight,"atterrir, se poser après un vol",,,,.
mik&iaq,,1,n,,ana,,,,,,,umbilical cord,cordon ombélical,,,,.
miki,mikit,1,v,i,a,,,,,,,to be small,être petit,,,,.
mikik,,1,v,t,,,,,,,si/1vv,to /bite s.t.,,,,,
miksa,miksi,1,n,,,,,,,,,the close or near side of s.t.,le côté rapproché de qqch.,,,,.
miksuk,,1,v,i,a,,,,,,,"to be damp, speaking of a hairy, furry or fuzzy surface","être mouillée, en parlant d'une surface poilue, duveteuse, pelucheuse, etc.",,,,.
milak,,1,n,,,,,,,,,spot on animal's skin,tache sur la peau d'un animal,,,,.
miliq,,1,v,t,res,,,,,,si/1vv,to /chip s.t. (the surface or coating of something),[T]faire sauter un éclat de la surface de qqch.[P]se faire sauter un éclat de sa surface[R]avoir sa surface perdre un éclat,,,,.
miluk,,1,v,t,,,,,,,si/1vv,[-R]to /suck s.t. in,,,,,
miluq,,1,v,t,,,,,,,si/1vv,[-R]to /pelt s.o. with small objects with the intent to hurt or annoy,[-R]/bombarder qqch. de petits objets avec l'intention de blesser ou d'agacer,,,,.
mimiq,,1,n,,,,,,,,,single hind or quarter of meat,viande provenant de la cuisse d'un animal,,,,.
minaq,,1,n,,,,,,,,,"gift, object to keep for your family",,,,,
minaumik&iq,,1,v,i,,,,,,,,to refuse more food so as not to appear greedy,refuser d'autre nourriture de peur d'avoir l'air gourmand,,,,.
minguaq,,1,v,t,,,,,,,si/1vv,to /paint s.t.,/peindre qqch.,,,,.
minguk,,1,n,,,,,,,,,(1) slime (2) poisonous black lake squirmer,(1) vase,,,,
mini,,1,v,i,,,,,,,,to rain finely or rain as a mist,pleuvoir finement,,,,.
minit,,1,v,t,,,,,,,si/1vv,[T]to not share one's food with s.o.,,,,,
minngiq,,1,v,t,,,,,,,i/1vv,[-R](1) to /charge at s.o.(harmful intention) (2) to /catch s.t. by jumping,[-R](1) /charger qqn (avec une intention hostile) (2)/attraper qqch. en sautant,,,,.
minnguq,,1,n,,zoo,,,,,,,land beetle,scarabée terrestre,,,,.
mipku,,1,n,,,,,,,,,dried meat,viande séchée,,,,.
miqit,,1,v,t,,,,,,,si/1vv,to /double or /fold s.t. over laterally or cross-wise,/doubler ou /plier qqch. latéralement ou diagonalement,,,,.
miqquq,,1,v,i,,,,,,,,"to get new coat of hair (animal, but not dog)","avoir une nouvelle couche de fourrure (animal, mais pas le chien)",,,,.
miqquq,,1,n,,,,,,,,,hair (not on the head),,,,,
miqqut,,1,n,,,,,,,,,sewing needle,,,,,
miriaq,,1,v,i,,,,,,gi/4vv,,to vomit (trans.: s.t.),vomir (trans.: qqch.),,,,.
miriaq,,1,n,,,,,,,,,vomit,vomissement,,,,
mirpiaq,,1,v,t,,,,,,,si/1vv,[T]to scrape the hair of s.t. off by means of a sharp instrument [P]to be scraped of one's hair by means of a sharp instrument,[T]gratter le poil de qqch. à l'aide d'un instrument aiguisé[P]avoir son poil gratté à l'aide d'un instrument aiguisé,,,,.
mirpik,,1,n,,ana,,,,,,,fleshy section of waist just below ribs and just above hip-bones [WCHB],partie charnue de la taille entre les côtes et les hanches [côte ouest de Baie d'Hudson],,,,.
mirsuq,,1,v,i,,,,,,nil,,to sew (trans.: s.t.),coudre (trans.: qqch.),,,,.
misakpaluk,,1,v,i,,,,,,,,to make a noise in chewing,faire du bruit en mâchant,,,,.
misiaq,,1,v,i,,,,,,,,to tell an outright lie (trans.: to s.o.),dire un mensonge absolu (trans.: à qqn),,,,.
misik,,1,v,i,,,,,,nil,,to jump or leap down (trans.: upon s.t.),sauter ou bondir (trans.: sur qqn),,,,.
misuk,,1,v,t,,,,,,,si/1vv,to /plunge or /immerse s.t. in the water,/plonger ou /immerger qqch. dans l'eau,,,,.
mitaq,,1,v,i,,,,,,nil,,to joke or banter with s.o.,,,,,
mitiq,,1,n,,zoo,,,,,,,common eider duck,canard eider commun,,,,.
mituk,,1,n,,,,,,,,,small particles of snow or ice on a confined space of water,petites particules de neige ou de glace dans un espace d'eau restreint,,,,.
miuq,,2,v,i,a,,,,,,,to have claws or long pointed nails,avoir des griffes ou de longs ongles pointus,,,,.
miuq,,1,v,i,,,,,,,,to howl at the moon,hurler à la lune,,,,.
mukpaujaq,,1,n,,,,,,,,,bread,,,,,
mulik,,1,n,,ana,,,,,,,nipple,,,,,
mumik,,1,v,t,res,,,,,,si/1vv i/1vv,to /turn or /flip s.t. over,/retourner qqch. d'un coup léger,,,,.
mumiq,,1,v,i,,,,,,,,to dance,danser,,,,.
murjuk,,1,v,i,,,,,,,,to fall or dive suddenly into the water,tomber ou plonger soudainement dans l'eau,,,,.
naa,,1,v,t,,,,,,,ji/1vv,"to /complete, /finish, /terminate s.t.",,,,,
naajaq,,1,v,t,,,,,,,si/1vv,to /scratch s.o.'s back,/gratter-de qqn le dos,,,,.
naakka,,1,a,,,,,,,,,no [WCHB,,,,,
naalak,,1,v,i,,,,,,nil,,(1) to listen with attention (2) to obey (trans.: to s.o.),(1) écouter avec attention (trans.: qqn) (2) obéir (trans.: à qqn),,,,.
naalauk,,1,v,i,,,,,,nil,,to predict or guess s.t. correctly,prédire ou deviner correctement (trans.: qqch.),,,,.
naamak,naammak,1,v,i,a,,,,,,,to be enough,,,,,
naaq,,1,n,,ana,,,,,,,belly,,,,,
naasaq,,1,v,t,,,,,,,si/1vv,"[-R]to /count, to /tally s.t.","[-R]/compter, /dénombrer qqch.",,,,.
naat,,1,v,i,,,,,,,,to trip or stumble over s.t.,trébucher contre qqch.,,,,.
naavik,,1,v,t,res,,,,,,si/1vv,to /spill s.t.,,,,,
nabgi,,1,v,t,,,,,,,i/1vv,to /break s.o.'s or s.t.'s leg,/briser-de qqn la jambe ou la patte,,,,.
nabguaq,,1,v,i,,,,,,,,to dislocate one's joint,se disloquer une articulation,,,,.
nabguaq,,2,n,,,,,,,,,finger ring,anneau (qu'on porte au doigt),,,,.
nabluk,,1,n,,ana,,,,,,,knee joint,articulation du genou,,,,.
nagajjauq,,1,n,,,,,,,,,Monday,lundi,,,,.
naggai,,1,a,,,,,,,,,no [Ungava],non [Ungava],,,,.
nagjuk,,1,n,,,,,,,,,animal horn,corne d'animal,,,,.
naglik,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to love s.o.,aimer qqn,,,,.
nagvaaq,,1,v,i,,,,,,nil,,to find s.t. accidentally,trouver qqch. accidentellement,,,,.
nagvaaq,,1,n,,,,,,,,,a find,,,,,
nai,,1,v,i,,,,,,nil,,to begin to smell or taste s.t.,commencer à sentir ou à goûter qqch.,,,,.
naiq,,1,v,i,,,,,,,,to tilt or slant to one side,pencher sur un côté,,,,.
nait,,1,v,i,a,,,,,,,to be short,être court,,,,.
najak,,1,n,,,,,,,,,(1) sister of a man (2) nun,,,,,
najalaq,,1,v,i,,,,,,,,to vibrate,,,,,
najangaq,,1,v,i,,,,,,,,to nod in drowsiness or sleepiness,"avoir la tête inclinée, par fatigue ou par sommeil",,,,.
najangaq,,1,n,,,,,,,,,midget species of jar seal,espèce naine de phoque annelé,,,,.
najuq,,1,v,t,,,,,,,i/1vv nit/1vv,[-R]to /watch over or /guard s.t.,,,,,
nakasuk,,1,n,,ana,,,,,,,bladder,vessie,,,,.
nakat,,2,v,i,a,,,,,,,to be cut off from the land on the moving ice [Ungava],"être coupé, isolé de la terre sur une plaque de glace flottante [Ungava]",,,,.
nakat,,1,v,t,,,,,,,si/1vv,to /chop or /lop or /sever s.t. cleanly (from someone's or some animal's body),/couper ou /trancher qqch. proprement (du corps d'une personne ou d'un animal),,,,.
nakataq,,1,n,,,,,,,,,standing marker,"jalon vertical, balise verticale",,,,.
nakiq,,1,v,i,,,,,,,,"to shoot over or beyond the mark, due to faulty site adjustment or alignment","tirer au-dessus ou à côté de la cible, à cause d'un mauvais alignement",,,,.
nakiq,,2,v,i,a,,,,,,,to be fast in movement,être rapide dans ses déplacements,,,,.
nakirsuq,,1,v,i,,,,,,,,to confess one's sins in open session (traditional Inuit custom),confesser ses péchés devant un groupe (coutume traditionnelle inuite),,,,.
naksaq,naksiq,1,v,t,,,,,,,si/1vv,"[-R]to /carry, /take, /transport s.t.",[-R]/transporter qqch.,,,,.
nakturalik,nakturaligjuaq,1,n,,zoo,,,,,,,sea eagle,aigle de mer,,,,.
naku,,1,v,i,,,,,,,,to cross one's eyes,croiser les yeux,,,,.
nakuq,,1,v,i,a,,,,,,,to be thankful or grateful to s.o. for s.t.,être reconnaissant à qqn pour qqch.,,,,.
nala,,1,n,,,,,,,,,direct line or location in direct line to a fixed point in relation to the viewer or speaker,ligne droite,,,,
naliak,,1,pr,,,,,,,,,which one,lequel,,,,.
nallaq,nala,1,v,i,,,,,,,,to lie on one's own back,être étendu sur le dos,,,,.
nallarik,,1,v,i,a,,,,,,,to have a flat top,avoir une surface planne,,,,.
nalliq,,1,v,i,a,,,,,,,to be the same,"être le même, pareil",,,,.
nallirtuq,,1,v,i,a,,,,,,,to be strong enough to beat s.o. in physical combat,être assez fort pour défaire qqn dans un combat physique,,,,.
nalliuti,,1,v,i,,,,,,,,to take place,,,,,
nalluaq,,1,v,i,,,,,,,,to fish by casting line,pêcher à la ligne,,,,.
nalluarsiq,,1,v,i,a,,,,,,,"to be pounded ashore by wind and waves, resulting in a ship-wreck","être poussé vers la berge par le vent et les vagues, résultant en un naufrage",,,,.
nalluq,,1,n,,,,,,,,,lake ford (for caribou),gué dans un lac (pour le caribou),,,,.
nalu,,1,v,i,a,,,,,,,to be confused,,,,,
naluaq,,1,n,,,,,,,,,sealskin bleached white by wind and frost,peau de phoque blanchie par le vent et le gel,,,,.
naluk,,1,v,i,,,,,,nil,,to swim (trans.: across s.t.),nager (trans.: à travers qqch.),,,,.
nangaq,,1,v,i,,,,,,nil,,to take a short-cut (trans.:  to get to s.t.),,,,,
nangiaq,,1,v,i,a,,,,,,,to be afraid of falling from s.t. with risky footing,avoir peur de tomber de qqch. à cause d'une position risquée,,,,.
nangiq,,1,v,i,a,,,,,,,to be standing,se tenir debout,,,,.
nangmak,,1,v,t,,,,,,,nnik/1vv,[-R]to /carry s.t. slung across the back,[-R]/transporter qqch. (suspendu en travers du dos),,,,.
nangminiq,,1,n,,,,,,,,,(1) self,,,,,
nani,,1,v,t,,,,,,,si/1vv,[T]to find s.t. (after searching for it) [P]to be found (after being searched for),[T]trouver qqch. (après l'avoir cheché)[P]être trouvé (après avoir été cherché),,,,.
naniriaq,,1,n,,,,,,,,,animal trap [Natt.],trappe à animal [Natt.],,,,.
nanirli,,1,v,i,,,,,,nil,,"to settle or shrink in volume (loose substance, such as powder, tobacco, flour, ...)","diminuer en volume (substance de particules, comme de la poudre, du tabac, de la farine, ...)",,,,.
nanngaq,,1,v,i,,,,,,gi/4vv,,"to gaze, to stare with awe or attention at s.t.",regarger qqch. avec attention,,,,.
nanuq,,1,n,,zoo,,,,,,,polar bear,ours polaire,,,,.
napa,napaq,1,v,i,,,,,,,,to stand upright,"se tenir droit, debout",,,,.
napguaq,,1,n,,ana,,,,,,,(1) joint,,,,,
napi,,1,v,t,res,,,,,,si/1vv,to /snap or /break s.t. across or laterally,/casser ou /briser qqch. en travers ou de côté,,,,.
nappaq,,1,n,,,,,,,,,half of s.t.,moitié de qqch.,,,,.
napsik,,1,v,i,,,,,,,,"to snap or break across or laterally, easily","claquer, se briser latéralement, facilement ",,,,.
napu,,1,n,,,,,,,,,sled cross-bar,barre transversale d'un traîneau,,,,.
naqaq,,1,v,i,,,,,,,,to fall through the soft deep snow,tomber dans la neige folle et profonde,,,,.
naqit,,2,v,i,a,,,,,,,to be low,être bas,,,,.
naqit,,1,v,t,,,,,,,si/1vv,[-R]to /press s.t. down,"[-R]/pousser, /presser qqch. vers le bas",,,,.
naqquq,,1,n,,,,,,,,,arrow head,tête de flèche,,,,.
naqut,,1,n,,,,,,,,,lashing,,,,,
nariaq,,1,v,i,,,,,,nil,,"to pursue s.t. that one scents, speaking of an animal",poursuivre qqch. que l'on sent (animal),,,,.
nariaq,,1,n,,,,,,,,,bait for animal trap,appât pour une trappe à animal,,,,.
narru,,1,v,i,,,,,,gi/4vv,,to find s.t. not to one's liking,,,,,
narsaq,,1,n,,,,,,,,,valley,vallée,,,,.
narsik,,1,v,i,,,,,,,,to turn up one's nose in distaste or rejection of s.t.,,,,,
nasaq,,1,v,t,,,,,,,i/1vv,[T]to put his hat to s.o.,,,,,
nasaq,,3,n,,,,,,,,,hood,,,,,
nasit,,1,v,i,,,,,,,,to arrive at a vantage-point to observe or scan surroundings,"arriver à un point d'observation, pour observer ou scruter les environs",,,,.
nataaq,,1,n,,,,,,,,,tray,,,,,
nataqquq,nataqqulaaq,1,n,,ana,,,,,,,cartilage,,,,,
nataqurnak,,1,v,i,,,,,,,,to hail,grêler,,,,.
nataqurnak,,1,n,,,,,,,,,hailstone,grêlon,,,,.
natiq,,1,n,,,,,,,,,floor,plancher,,,,.
nattiq,,1,n,,zoo,,,,,,,jar or harbour seal,phoque annelé ou phoque commun,,,,.
nauguti,,1,v,i,,,,,,,,to fall in headlong flight after being mortally wounded,tomber en plongeant de la tête après avoir été mortellement blessé,,,,.
nauja,,1,n,,zoo,,,,,,,sea gull,,,,,
nauk,,2,a,,int,,,,,,,where (when searching for s.t.),où (lorsqu'on cherche qqch.),,,,.
nauk,,1,a,,,,,,,,,no,non,,,,.
nauttiq,,1,v,i,,,,,,nil,,"to keep watch over or stand sentry for s.t., staying home",veiller sur qqch. en restant à la maison,,,,.
niangaak,,1,e,,,,,,,,,"exclamation: ""I'm jealous!"" [S. Baffin]","exclamation: ""Je suis jaloux!"" [Terre de Baffin sud]",,,,.
niaquq,,2,n,,,,,,,,,primus-stove burner,brûleur de réchaud de camping,,,,.
niaquq,,1,n,,ana,,,,,,,head,tête,,,,.
nigaq,,1,v,t,,,,,,,si/1vv,[-R]to /snare s.t.,[-R]/prendre qqch. au piège,,,,.
nigaq,,1,n,,,,,,,,,snare,,,,,
nigavit,,1,v,i,a,,,,,,,to be tangled,,,,,
niggiq,,1,v,i,,,,,,,,to be blowing due south-east - speaking of the wind,souffler franc sud-est (le vent),,,,.
niggiq,,1,n,,,,,,,,,the south-east,,,,,
nigjak,,1,n,,,,,,,,,fringe,,,,,
nigjuk,,1,n,,zoo,,,,,,,small red-brown earth spider of barren lands,petite araignée terrestre brun-rouge de la toundra,,,,.
niglaq,,1,v,i,,,,,,,,"to turn cold, to become chilly, speaking of the weather","se refroidir, en parlant de la température",,,,.
nigli,,1,v,i,,,,,,,,to chill,,,,,
niguq,,1,v,i,,,,,,nil,,to skirt or detour (trans.: around s.t.),faire un détour,,,,
niirluk,,1,v,i,,,,,,,,to have one's neck snapped,avoir le coup brisé d'un coup sec,,,,.
nijja,,1,v,i,,,,,,nil,,to make a characteristic noise or sound repeatedly (trans.: at s.o.) (Great Whale River),faire un bruit caractéristique à répétition (trans.: à qqn) (Great Whale River),,,,.
nika,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to feel compassion for s.o.,ressentir de la compassion pour qqn,,,,.
nikit,,1,v,i,,,,,,,,to move very slowly across one's line of vision,bouger très lentement dans son champ de vision,,,,.
nikku,,1,n,,,,,,,,,dried meat,viande séchée,,,,.
nikpaaq,nikpaq,1,v,i,,,,,,nil,,to wait or watch at the seal-hole or breathing-hole for a seal to come up,attendre près d'un trou qu'un phoque se présente,,,,.
nikpaaq,,1,n,,,,,,,,,seal-hole or breathing-hole which is hunted at,trou de phoque ou autre animal où l'on chasse,,,,.
niksaaq,,1,v,i,,,,,,,,to burp or belch,"roter, éructer, faire un renvoi",,,,.
niksik,,2,v,t,,,,,,,i/1vv,to /hook s.t.,/accrocher qqch.,,,,.
niksik,,1,n,,,,,,,,,(1) hook (2) harness snap [Padl.],(1) crochet (2) bouton de harnais [Padl.],,,,.
niktaq,,1,v,t,,,,,,,si/1vv,to /lower s.t. down by means of a rope or ladder,/descendre qqch. à l'aide d'une corde ou d'une échelle,,,,.
nikubjaq,,1,v,i,,,,,,,,to stand on tip-toes,se tenir sur la pointe des pieds,,,,.
nikuvik,,1,v,i,,,,,,,,to stand up,se tenir debout,,,,.
nilak,,1,n,,,,,,,,,fresh-water ice,,,,,
nilamak,nilamik,1,v,i,,,,,,nil,,to lay flat back against a solid object,,,,,
niliq,,1,v,i,,,,,,,,to fart,péter,,,,.
nimiq,,1,v,t,,,,,,,si/1vv,"to /wind or /coil something (rope, line, bandage) around s.t.","[T]enrouler quelque chose (corde, ligne, bandage) autour de qqch.[P]être enroulé de quelque chose(corde, ligne, bandage)[R]s'enrouler de quelque chose (corde, ligne, bandage)",,,,.
nimiq,,1,n,,,,,,,,,rope or line for binding or coiling around s.t.,corde ou ligne pour lier ou enrouler autour de qqch.,,,,.
ningau,,1,n,,,,,,,,,(1) son-in-law,,,,,
ningiq,,1,v,i,,,,,,,,to get a share of the game on the trail,obtenir une part d'un gibier,,,,.
ningit,,1,v,t,,,,,,,si/1vv,to /lower s.t. down by means of a rope or ladder,/descendre qqch. à l'aide d'une corde ou d'une échelle,,,,.
ningiuq,,1,n,,,,,,,,,old woman,vieille femme,,,,.
ningu,ningi,1,v,i,a,,,,,,,to be solid or firm,,,,,
ninngaq,,1,v,i,a,,,,,,,to be annoyed or mad about s.t. or s.o.,"être embêté, ennuyé ou fâché par qqch. ou qqn",,,,.
nipaluk,,1,v,i,,,,,,,,to rain [Padl.],pleuvoir [Padl.],,,,.
nipaq,,1,v,i,a,,,,,,,(1) to be away for a long time (2) to have moved out of sight,"(1) être parti pendant, depuis longtemps (2) avoir disparu de la vue",,,,.
nipi,,1,v,i,,,,,,,,"to have set (speaking of the sun, the moon, the stars...)","s'être levé (soleil, lune, étoiles...)",,,,.
nipi,,2,v,i,,,,,,,,to stick or adhere to something,"coller, adhérer à qqch.",,,,.
nipi,nipa,1,n,,,,,,,,,(1) sound,,,,,
nipjaaq,,1,v,i,,,,,,,,to make a characteristic repetitious noise (WCHB),faire un bruit caractéristique à répétition (côte ouest de la Baie d'Hudson),,,,.
nipliq,,1,v,i,,,,,,,,to make a single characteristic noise,faire un bruit caractéristique une fois,,,,.
nipta,,1,v,i,a,,,,,,,"(1) to be clear and bright, speaking of the weather (2) to be visible",(1) être clair (le temps) (2) être visible,,,,.
nipuuq,,1,v,i,a,,,,,,,to be weary of waiting for s.o. to come,être las d'attendre que quelqu'un arrive,,,,.
niqi,,1,n,,,,,,,,,(1) food (2) bodily flesh,(1) nourriture (2) chair,,,,.
niqtuq,,1,v,i,,,,,,nil,,to praise or compliment or eulogize s.o.,"louanger, complimenter qqn",,,,.
niquq,,1,v,i,,,,,,,,to make a single short rubbing or friction noise,faire un bruit bref de frottage ou de friction,,,,.
nir&ingu,,1,v,i,a,,,,,,,to be greedy or grasping,"être gourmand ou avide, cupide",,,,.
niri,,1,v,i,,,,,,nil,,to eat (trans.: s.t.),manger (trans.: qqch.),,,,.
niriuk,,1,v,i,,,,,,gi/4vv,,to expect,s'attendre à qqch.,,,,.
niriuq,,1,v,i,,,,,,gi/4vv,,to expect,être dans l'attente (trans.: de qqch.),,,,.
nirjut,,1,n,,zoo,,,,,,,game animal or bird,gibier - animal ou oiseau,,,,.
nirliq,,1,n,,zoo,,,,,,,Canada goose,oie du Canada,,,,.
nirnat,,1,n,,bot,p,,,,,,reindeer moss,lichen,,,,.
nirpik,,1,n,,ana,,,,,,,fleshy section of waist just below ribs and just above hip-bones,,,,,
nirralaaq,nirrallaq,1,v,i,,,,,,,,to fall over backwards,,,,,
niru,,1,n,,,,,,,,,"entrance, opening of s.t.",entrée,,,,
niruaq,,1,v,t,,,,,,,si/1vv,to /choose or /elect s.o.,/choisir ou /élire qqn,,,,.
nirumak,nirumik,1,v,i,a,,,,,,,to be cushioned or billowy or light and buoyant to the touch,"être coussiné, léger, moelleux au toucher",,,,.
niruqaq,,1,n,,,,,,,,,contents of a caribou stomach,contenu de l'estomac d'un caribou,,,,.
niu,,1,v,t,,,,,,,ji/1vv,[-R]to /unload s.t.,,,,,
niu,niuk,1,n,,ana,,,,,,,leg,jambe,,,,
niubviuq,,1,v,i,,,,,,nil,,to go out and meet s.o. who is arriving,sortir rencontrer qqn qui arrive,,,,.
niugaq,,1,v,t,,,,,,,si/1vv,to /rub s.t. up against something,/frotter qqch. contre quelque chose,,,,.
niuk,,1,v,i,a,,,,,,,to be bent,être plié,,,,.
niuq,,1,v,t,,,,,,,si/1vv,[-R]to /suck s.t. in,,,,,
niurru,,1,v,i,,,,,,,,to visit or commute or come to trade from an outlying camp for a short period,"rendre visite, passer par là, ou venir d'un camp éloigné pendant une courte période",,,,.
niuviq,,1,v,i,,,,,,nil,,to barter or trade for goods,,,,,
nivaq,,1,v,i,,,,,,,,to shovel s.t. with a shovel [Padl.],pelleter qqch. [Padl.],,,,.
niviarsaaq,,1,n,,,,,,,,,young girl [WCHB],jeune fille [côte ouest de la Baie d'Hudson],,,,.
nivinga,,1,v,i,a,,,,,,,to be hanging or suspended,être suspendu,,,,
niviq,,1,v,i,,,,,,,,to fall over backwards or on one's own back,,,,,
niviuq,,1,v,i,,,,,,nil,,to attack s.t. or s.o. which is a would-be danger in defence of one's young,attaquer qqch. ou qqn potentiellement dangereux pour défendre ses petits,,,,.
niviuvaq,,1,n,,zoo,,,,,,,house fly,,,,,
nua,,1,n,,,,,,,,,woman's nephew or niece,neveu ou nièce d'une femme,,,,.
nuak,,1,v,t,res,,,,,,si/1vv,"to /collect, to /gather s.t.","/collectionner, /rassembler qqch.",,,,.
nubviq,,1,v,i,,,,,,,,to spit [Natt.],cracher [Natt.],,,,.
nugluk,,1,v,t,,,,,,,si/1vv,to /spike or /spear s.t.,"/piquer, /transpercer qqch.",,,,.
nui,,1,v,i,,,,,,,,"to emerge, to appear","émerger, apparaître",,,,.
nuiq,,1,n,,,,,,,,,small spear or bird dart [S. Baffin],petite lance ou fléchette pour oiseau [Terre de Baffin sud],,,,.
nujaq,,1,n,,ana,,,,,,,hair of the head,cheveu de la tête,,,,.
nujuaq,,1,v,i,a,,,,,,,to be shy or easily startled,être timide ou facilement intimidé,,,,.
nujuit,,1,v,i,a,,,,,,,to be tame,être apprivoisé,,,,.
nukaq,,1,n,,,,,,,,,younger brother of a man,,,,,
nukik,,1,n,,,,,,,,,bodily strength,force physique,,,,.
nukik,,1,n,,ana,,,,,,,sinew,,,,,
nuktaq,,1,v,i,,,,,,,,to veer repeatedly from one direction to another,changer de direction de façon répétée,,,,.
nuktaq,,1,n,,,,,,,,,crack made in brittle material by sudden force,"fissure faite dans un matériau fragile, cassant par une force soudaine",,,,.
nuktiq,,1,v,i,,,,,,,,to change one's abode or camping site,changer de campement,,,,.
nulataq,,1,n,,,,,,,,,seal-hole which has no snow around it and which sticks out above the surface,trou de phoque sans neige autour et qui dépasse de la surface,,,,.
nuliaq,,1,n,,,,,,,,,wife,épouse,,,,.
nulluaq,,1,v,i,,,,,,nil,,to wave s.o. away by moving arm up and down at one's side,"écarter, éloigner qqn d'un geste en bougeant le bras de haut en bas sur le côté",,,,.
